smiles,Clostridium sporogenes ATCC15579
Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,0
CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,0
CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1,0
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,0
C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,0
C=CCc1ccccc1OCC(O)C[NH2+]C(C)C,0
[NH3+]C12CC3CC(CC(C3)C1)C2,0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0
CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,0
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,0
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,0
c1ccc(CN(CC2=[NH+]CCN2)c2ccccc2)cc1,0
C[NH+]1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,1
CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,0
CC(C)c1c(C(=O)c2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-],0
CN1CCC(=C2c3ccccc3CCc3ccc[nH+]c32)CC1,0
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)C[NH2+]C(C)(C)C)c1,0
CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)[O-])C1=O,0
CCc1oc2ccccc2c1C(=O)c1cc(Br)c([O-])c(Br)c1,0
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)[N-]S2(=O)=O,0
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
CC(C)[NH2+]CC(O)COc1ccc(CCOCC2CC2)cc1,0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)[O-],0
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,0
OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,1
CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1,0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4[NH+](C)C3)(C(C)C)C(=O)N12,1
CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,0
CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,0
O=C(NCc1ccccc1)OCCO,0
O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+]1CCN(c2ncccn2)CC1,0
CC[NH+](CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,0
CCCCCOC(=O)[N-]c1nc(=O)n(C2OC(C)C(O)C2O)cc1F,0
CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,0
